dt,txns,net_amount,avg_ticket,active_users,active_cards,fraud_count,fraud_rate,online_share,refund_count
2013-03-07,4612,190538.64,41.31,1325,2221,9,0.1951,11.71,240
2013-03-08,4568,194162.84,42.51,1335,2205,0,0.0,12.22,201
2013-03-09,4654,193667.47,41.61,1333,2243,7,0.1504,11.93,215
2013-03-10,4714,198531.81,42.12,1328,2215,13,0.2758,12.2,238
2013-03-11,4709,212558.84,45.14,1339,2250,0,0.0,11.74,231
2013-03-12,4118,193994.81,47.11,1321,2106,6,0.1457,12.94,171
2013-03-13,4163,176855.76,42.48,1318,2121,2,0.048,11.58,240
2013-03-14,4659,197633.71,42.42,1336,2225,0,0.0,11.33,229
2013-03-15,4628,192597.37,41.62,1328,2198,0,0.0,12.25,221
2013-03-16,4581,194448.92,42.45,1321,2206,0,0.0,11.44,238
2013-03-17,4653,196334.18,42.2,1344,2248,0,0.0,11.3,231
2013-03-18,4615,203889.38,44.18,1337,2207,0,0.0,11.81,220
2013-03-19,4100,185210.81,45.17,1314,2099,0,0.0,11.71,167
2013-03-20,4259,180060.58,42.28,1323,2144,0,0.0,11.48,245
2013-03-21,4576,194762.27,42.56,1327,2194,0,0.0,11.71,231
2013-03-22,4604,194739.58,42.3,1337,2216,0,0.0,11.49,226
2013-03-23,4571,186833.28,40.87,1337,2228,0,0.0,11.57,229
2013-03-24,4686,189299.93,40.4,1342,2247,0,0.0,11.69,252
2013-03-25,4660,210677.79,45.21,1340,2249,0,0.0,11.27,238
2013-03-26,4188,200186.02,47.8,1324,2133,0,0.0,13.13,180
2013-03-27,4314,183802.23,42.61,1303,2112,0,0.0,11.96,258
2013-03-28,4456,184650.15,41.44,1345,2222,0,0.0,11.47,188
2013-03-29,4631,201203.93,43.45,1346,2234,0,0.0,11.06,239
2013-03-30,4628,191691.66,41.42,1326,2257,0,0.0,12.12,210
2013-03-31,4723,189587.34,40.14,1337,2272,0,0.0,10.65,252
2013-04-01,4760,220309.57,46.28,1361,2247,0,0.0,11.83,257
2013-04-02,4001,195418.21,48.84,1296,2075,0,0.0,11.37,160
2013-04-03,4270,188113.46,44.05,1307,2178,0,0.0,11.59,252
2013-04-04,4577,188768.25,41.24,1337,2212,0,0.0,11.6,244
2013-04-05,4642,191104.57,41.17,1353,2241,0,0.0,11.18,226
2013-04-06,4640,199848.55,43.07,1338,2234,0,0.0,11.85,222
2013-04-07,4649,202624.02,43.58,1347,2262,0,0.0,11.46,232
2013-04-08,4645,206068.51,44.36,1325,2194,0,0.0,11.56,221
2013-04-09,4163,193041.79,46.37,1313,2105,0,0.0,11.36,184
2013-04-10,4211,186213.63,44.22,1316,2150,0,0.0,11.99,234
2013-04-11,4633,191688.33,41.37,1348,2238,0,0.0,11.72,207
2013-04-12,4594,187526.67,40.82,1346,2218,0,0.0,11.73,222
2013-04-13,4723,205034.78,43.41,1353,2271,0,0.0,11.29,229
2013-04-14,4614,207651.05,45.0,1336,2234,0,0.0,11.68,223
2013-04-15,4551,200373.5,44.03,1329,2169,0,0.0,10.66,233
2013-04-16,4153,188842.92,45.47,1322,2131,0,0.0,12.67,191
2013-04-17,4347,185321.44,42.63,1326,2160,0,0.0,11.48,251
2013-04-18,4586,183304.18,39.97,1347,2216,0,0.0,11.36,221
2013-04-19,4731,195030.56,41.22,1346,2270,0,0.0,11.79,252
2013-04-20,4625,195451.96,42.26,1334,2214,0,0.0,11.29,222
2013-04-21,4708,193629.48,41.13,1335,2265,0,0.0,11.87,249
2013-04-22,4512,207894.67,46.08,1331,2166,0,0.0,12.1,202
2013-04-23,4149,196919.7,47.46,1333,2102,0,0.0,11.64,189
2013-04-24,4224,187078.15,44.29,1319,2130,0,0.0,12.26,242
2013-04-25,4637,198847.19,42.88,1356,2268,0,0.0,11.86,216
2013-04-26,4590,196703.91,42.85,1357,2246,0,0.0,11.42,228
2013-04-27,4519,189842.07,42.01,1334,2214,0,0.0,11.62,218
2013-04-28,4623,197418.87,42.7,1332,2231,0,0.0,11.44,236
2013-04-29,4725,208777.09,44.19,1357,2264,0,0.0,11.94,255
2013-04-30,4123,194019.16,47.06,1323,2152,0,0.0,12.08,175
2013-05-01,4244,184534.77,43.48,1322,2129,0,0.0,12.21,215
2013-05-02,4609,197153.28,42.78,1352,2233,0,0.0,11.0,220
2013-05-03,4593,196887.39,42.87,1347,2211,0,0.0,11.34,203
2013-05-04,4625,191328.88,41.37,1336,2197,0,0.0,12.09,216
2013-05-05,4589,192815.2,42.02,1348,2245,0,0.0,11.57,222
2013-05-06,4686,204061.65,43.55,1359,2252,0,0.0,11.5,213
2013-05-07,4121,188489.31,45.74,1312,2128,0,0.0,11.21,189
2013-05-08,4266,179836.44,42.16,1309,2132,0,0.0,12.17,256
2013-05-09,4748,201820.48,42.51,1359,2289,0,0.0,10.72,241
2013-05-10,4639,193356.25,41.68,1341,2214,0,0.0,11.25,226
2013-05-11,4620,201016.08,43.51,1349,2238,0,0.0,10.54,220
2013-05-12,4666,198788.15,42.6,1331,2207,0,0.0,11.27,247
2013-05-13,4642,210908.52,45.43,1348,2220,0,0.0,11.76,215
2013-05-14,4170,191730.29,45.98,1328,2090,0,0.0,12.16,194
2013-05-15,4254,182130.26,42.81,1326,2161,0,0.0,13.14,240
2013-05-16,4680,198297.0,42.37,1339,2218,0,0.0,12.29,229
2013-05-17,4666,202501.84,43.4,1346,2247,0,0.0,10.37,225
2013-05-18,4579,193485.08,42.25,1332,2204,0,0.0,11.38,217
2013-05-19,4701,199262.9,42.39,1338,2234,0,0.0,11.66,245
2013-05-20,4691,213722.01,45.56,1337,2215,0,0.0,11.79,224
2013-05-21,4039,194431.26,48.14,1324,2108,0,0.0,11.59,147
2013-05-22,4307,189222.75,43.93,1324,2159,0,0.0,12.07,248
2013-05-23,4689,192406.36,41.03,1358,2251,0,0.0,11.86,239
2013-05-24,4572,198305.22,43.37,1340,2222,0,0.0,11.29,205
2013-05-25,4562,190545.57,41.77,1345,2205,0,0.0,11.97,222
2013-05-26,4708,205085.07,43.56,1345,2255,0,0.0,11.58,231
2013-05-27,4649,211980.72,45.6,1359,2273,0,0.0,10.95,228
2013-05-28,4140,193656.17,46.78,1331,2123,0,0.0,12.22,192
2013-05-29,4284,196615.04,45.9,1313,2105,0,0.0,11.67,242
2013-05-30,4750,179224.04,37.73,1327,2275,0,0.0,14.06,217
2013-05-31,4657,195321.8,41.94,1346,2224,0,0.0,11.62,233
2013-06-01,4590,192309.31,41.9,1345,2178,0,0.0,11.9,215
2013-06-02,4666,204479.43,43.82,1352,2250,0,0.0,11.47,209
2013-06-03,4630,208449.56,45.02,1345,2210,0,0.0,11.79,217
2013-06-04,4214,200680.9,47.62,1321,2148,0,0.0,11.98,180
2013-06-05,4152,185599.94,44.7,1318,2080,0,0.0,11.97,229
2013-06-06,4580,199452.72,43.55,1326,2212,0,0.0,11.27,206
2013-06-07,4660,196432.47,42.15,1346,2253,0,0.0,10.69,224
2013-06-08,4586,199341.23,43.47,1339,2215,0,0.0,11.8,223
2013-06-09,4729,196808.33,41.62,1362,2250,0,0.0,10.93,248
2013-06-10,4726,212591.68,44.98,1344,2216,0,0.0,11.57,251
2013-06-11,4127,199452.97,48.33,1313,2102,0,0.0,11.92,181
2013-06-12,4305,183541.83,42.63,1320,2118,0,0.0,12.17,233
2013-06-13,4749,199597.28,42.03,1348,2255,0,0.0,11.48,253
2013-06-14,4627,190580.87,41.19,1333,2230,0,0.0,11.0,225
2013-06-15,4618,198471.98,42.98,1355,2236,0,0.0,11.87,234
2013-06-16,4592,193004.25,42.03,1329,2204,0,0.0,11.52,236
2013-06-17,4726,223590.53,47.31,1337,2235,0,0.0,11.15,234
2013-06-18,4203,196525.28,46.76,1279,2096,0,0.0,12.32,203
2013-06-19,4344,185647.81,42.74,1323,2157,0,0.0,12.68,246
2013-06-20,4624,192936.06,41.72,1339,2231,0,0.0,12.67,249
2013-06-21,4658,194722.04,41.8,1340,2200,0,0.0,11.42,234
2013-06-22,4609,199575.72,43.3,1348,2253,0,0.0,11.95,218
2013-06-23,4652,198263.31,42.62,1344,2234,0,0.0,12.21,227
2013-06-24,4746,224116.46,47.22,1356,2279,0,0.0,11.99,251
2013-06-25,4225,200864.95,47.54,1333,2138,0,0.0,12.07,188
2013-06-26,4473,195398.3,43.68,1321,2161,0,0.0,12.34,276
2013-06-27,4578,199414.51,43.56,1348,2249,0,0.0,11.34,229
2013-06-28,4799,198630.81,41.39,1356,2302,0,0.0,11.88,255
2013-06-29,4630,191005.27,41.25,1334,2232,0,0.0,12.05,218
2013-06-30,4639,198508.86,42.79,1349,2239,0,0.0,11.68,239
2013-07-01,4770,216188.3,45.32,1341,2268,0,0.0,11.97,235
2013-07-02,4293,203774.78,47.47,1321,2140,0,0.0,12.39,191
2013-07-03,4362,190623.19,43.7,1332,2179,0,0.0,11.6,260
2013-07-04,4741,178325.21,37.61,1342,2254,0,0.0,14.13,202
2013-07-05,4740,196191.57,41.39,1334,2250,0,0.0,11.27,240
2013-07-06,4704,201822.72,42.9,1341,2242,0,0.0,11.39,236
2013-07-07,4714,198101.38,42.02,1338,2214,0,0.0,12.2,230
2013-07-08,4768,217118.87,45.54,1349,2267,0,0.0,11.16,253
2013-07-09,4154,192288.73,46.29,1320,2125,0,0.0,12.08,198
2013-07-10,4331,187964.44,43.4,1312,2117,0,0.0,12.01,250
2013-07-11,4618,194602.35,42.14,1333,2237,0,0.0,11.46,229
2013-07-12,4603,191154.11,41.53,1349,2195,0,0.0,11.49,238
2013-07-13,4721,201044.1,42.59,1350,2247,0,0.0,11.65,254
2013-07-14,4754,208433.76,43.84,1346,2258,0,0.0,10.43,248
2013-07-15,4843,218540.26,45.12,1362,2287,0,0.0,11.29,267
2013-07-16,4237,206488.52,48.73,1304,2120,0,0.0,12.18,185
2013-07-17,4399,191411.74,43.51,1333,2145,0,0.0,11.89,266
2013-07-18,4742,204896.5,43.21,1349,2233,0,0.0,11.49,268
2013-07-19,4688,198735.63,42.39,1334,2224,11,0.2346,11.9,234
2013-07-20,4613,191387.22,41.49,1346,2204,10,0.2168,11.25,250
2013-07-21,4585,192952.48,42.08,1345,2238,12,0.2617,11.58,234
2013-07-22,4602,206705.49,44.92,1333,2198,9,0.1956,10.78,232
2013-07-23,4201,192996.87,45.94,1315,2120,0,0.0,11.83,184
2013-07-24,4305,192892.94,44.81,1329,2161,0,0.0,11.85,249
2013-07-25,4751,196710.15,41.4,1349,2274,2,0.0421,11.18,253
2013-07-26,4750,200436.71,42.2,1365,2297,33,0.6947,11.6,243
2013-07-27,4665,192916.37,41.35,1346,2249,17,0.3644,11.9,216
2013-07-28,4590,193530.09,42.16,1329,2211,11,0.2397,12.05,211
2013-07-29,4742,214628.05,45.26,1347,2238,7,0.1476,11.56,236
2013-07-30,4178,194680.55,46.6,1315,2130,2,0.0479,12.23,190
2013-07-31,4227,189324.36,44.79,1314,2096,0,0.0,12.54,228
2013-08-01,4655,188807.81,40.56,1328,2239,2,0.043,11.6,240
2013-08-02,4650,188028.05,40.44,1361,2261,21,0.4516,11.87,227
2013-08-03,4565,189032.69,41.41,1334,2178,18,0.3943,11.96,229
2013-08-04,4622,186270.79,40.3,1342,2231,26,0.5625,12.22,237
2013-08-05,4715,210465.0,44.64,1360,2270,9,0.1909,11.58,233
2013-08-06,4212,197602.15,46.91,1325,2125,0,0.0,12.2,188
2013-08-07,4327,179186.77,41.41,1335,2173,2,0.0462,12.06,249
2013-08-08,4594,192747.61,41.96,1341,2222,0,0.0,11.99,227
2013-08-09,4525,188077.41,41.56,1327,2189,28,0.6188,12.44,221
2013-08-10,4555,191417.0,42.02,1337,2216,19,0.4171,11.61,210
2013-08-11,4574,201617.89,44.08,1326,2165,5,0.1093,11.5,236
2013-08-12,4715,216132.07,45.84,1345,2244,12,0.2545,11.86,228
2013-08-13,4185,192195.64,45.92,1314,2136,0,0.0,12.71,178
2013-08-14,4313,184131.7,42.69,1328,2134,0,0.0,11.76,243
2013-08-15,4649,190815.7,41.04,1351,2229,4,0.086,10.95,232
2013-08-16,4628,196039.87,42.36,1365,2255,15,0.3241,11.56,217
2013-08-17,4636,196533.15,42.39,1340,2218,17,0.3667,11.97,227
2013-08-18,4621,204167.64,44.18,1338,2242,18,0.3895,12.18,223
2013-08-19,4809,204023.05,42.43,1346,2272,17,0.3535,11.0,254
2013-08-20,4239,195062.79,46.02,1324,2145,0,0.0,11.61,201
2013-08-21,4333,189329.86,43.69,1344,2167,0,0.0,11.77,246
2013-08-22,4672,194833.38,41.7,1345,2234,0,0.0,11.6,241
2013-08-23,4749,203649.68,42.88,1342,2251,43,0.9055,11.9,244
2013-08-24,4731,189610.77,40.08,1353,2269,17,0.3593,11.52,246
2013-08-25,4720,210811.92,44.66,1354,2254,28,0.5932,11.57,249
2013-08-26,4701,204317.71,43.46,1344,2228,12,0.2553,11.23,236
2013-08-27,4255,203322.96,47.78,1315,2160,4,0.094,12.69,207
2013-08-28,4236,182711.05,43.13,1320,2124,0,0.0,12.44,259
2013-08-29,4609,192080.08,41.68,1335,2235,2,0.0434,11.72,245
2013-08-30,4740,191642.42,40.43,1356,2271,18,0.3797,11.29,253
2013-08-31,4682,202306.83,43.21,1348,2261,14,0.299,12.22,209
2013-09-01,4640,195665.99,42.17,1337,2220,10,0.2155,11.96,230
2013-09-02,4711,210810.9,44.75,1342,2276,5,0.1061,11.21,229
2013-09-03,4160,195269.35,46.94,1316,2126,2,0.0481,12.12,191
2013-09-04,4304,191435.07,44.48,1326,2174,0,0.0,12.22,237
2013-09-05,4729,177305.69,37.49,1326,2244,2,0.0423,13.91,218
2013-09-06,4820,205782.65,42.69,1355,2293,22,0.4564,11.95,232
2013-09-07,4733,195119.04,41.23,1350,2239,23,0.4859,12.15,239
2013-09-08,4671,212597.56,45.51,1341,2227,14,0.2997,11.67,220
2013-09-09,4673,198221.93,42.42,1358,2246,4,0.0856,12.24,230
2013-09-10,4163,197256.29,47.38,1313,2124,0,0.0,12.18,182
2013-09-11,4236,183378.55,43.29,1314,2145,2,0.0472,12.02,241
2013-09-12,4680,189696.48,40.53,1352,2245,0,0.0,11.97,222
2013-09-13,4606,192100.64,41.71,1358,2242,13,0.2822,11.72,225
2013-09-14,4567,189089.15,41.4,1349,2216,24,0.5255,12.0,217
2013-09-15,4545,186843.88,41.11,1333,2220,14,0.308,11.53,215
2013-09-16,4633,209011.58,45.11,1347,2255,18,0.3885,11.44,230
2013-09-17,4079,185458.05,45.47,1332,2105,0,0.0,11.47,181
2013-09-18,4291,189377.14,44.13,1323,2154,2,0.0466,12.05,232
2013-09-19,4661,193559.9,41.53,1339,2258,0,0.0,11.63,229
2013-09-20,4600,191303.98,41.59,1356,2244,26,0.5652,12.57,211
2013-09-21,4707,200301.95,42.55,1346,2236,18,0.3824,12.02,223
2013-09-22,4764,200856.13,42.16,1376,2316,13,0.2729,11.92,247
2013-09-23,4772,208114.28,43.61,1333,2261,30,0.6287,11.61,233
2013-09-24,4205,189467.19,45.06,1300,2116,0,0.0,11.22,195
2013-09-25,4247,180253.83,42.44,1341,2145,2,0.0471,12.48,252
2013-09-26,4616,193895.8,42.01,1341,2226,0,0.0,11.05,232
2013-09-27,4639,197042.45,42.48,1348,2257,35,0.7545,11.83,225
2013-09-28,4690,211676.6,45.13,1350,2205,72,1.5352,12.41,237
2013-09-29,4653,196407.77,42.21,1356,2239,34,0.7307,11.65,241
2013-09-30,4631,206295.14,44.55,1349,2287,15,0.3239,11.51,217
2013-10-01,4172,192087.44,46.04,1321,2134,2,0.0479,12.01,173
2013-10-02,4226,184778.01,43.72,1320,2142,8,0.1893,12.19,263
2013-10-03,4731,206323.15,43.61,1341,2280,4,0.0845,11.44,224
2013-10-04,4661,197539.32,42.38,1348,2224,25,0.5364,11.31,233
2013-10-05,4768,202256.36,42.42,1357,2264,29,0.6082,11.77,257
2013-10-06,4551,192916.12,42.39,1358,2198,21,0.4614,11.91,216
2013-10-07,4613,205591.91,44.57,1330,2234,6,0.1301,11.64,240
2013-10-08,4111,195233.63,47.49,1318,2143,2,0.0486,12.45,153
2013-10-09,4362,186359.31,42.72,1343,2192,4,0.0917,11.83,244
2013-10-10,4740,192417.8,40.59,1339,2242,0,0.0,11.56,250
2013-10-11,4619,193454.79,41.88,1352,2234,15,0.3247,11.8,229
2013-10-12,4733,205589.68,43.44,1362,2292,20,0.4226,11.26,240
2013-10-13,4741,200341.21,42.26,1357,2261,11,0.232,11.81,258
2013-10-14,4762,216453.29,45.45,1349,2275,22,0.462,11.99,245
2013-10-15,4146,196012.19,47.28,1306,2140,0,0.0,11.99,168
2013-10-16,4138,178365.24,43.1,1308,2109,0,0.0,11.96,254
2013-10-17,4692,190587.03,40.62,1346,2264,2,0.0426,11.57,223
2013-10-18,4907,207641.74,42.32,1365,2296,65,1.3246,11.76,249
2013-10-19,4606,204752.77,44.45,1351,2235,73,1.5849,13.0,196
2013-10-20,4721,210112.07,44.51,1347,2230,21,0.4448,11.61,228
2013-10-21,4748,211422.78,44.53,1359,2269,10,0.2106,11.1,236
2013-10-22,4091,190844.45,46.65,1308,2132,2,0.0489,11.59,156
2013-10-23,4206,173179.07,41.17,1317,2138,0,0.0,11.75,255
2013-10-24,4675,198879.29,42.54,1353,2246,0,0.0,10.8,236
2013-10-25,4707,201272.59,42.76,1358,2238,33,0.7011,12.43,219
2013-10-26,4686,195043.92,41.62,1363,2274,30,0.6402,12.08,231
2013-10-27,4669,197220.43,42.24,1364,2221,23,0.4926,11.84,235
2013-10-28,4702,216849.96,46.12,1351,2269,3,0.0638,11.85,222
2013-10-29,4147,194935.54,47.01,1328,2134,0,0.0,12.66,200
2013-10-30,4240,177642.16,41.9,1319,2128,0,0.0,12.03,257
2013-10-31,4615,187421.37,40.61,1358,2251,2,0.0433,12.11,232
2013-11-01,4578,199360.64,43.55,1349,2232,32,0.699,12.43,221
2013-11-02,4628,189378.32,40.92,1331,2249,9,0.1945,11.95,211
2013-11-03,4741,203570.35,42.94,1350,2273,6,0.1266,11.54,261
2013-11-04,4649,204417.26,43.97,1349,2264,7,0.1506,11.83,225
2013-11-05,4116,200505.41,48.71,1311,2132,0,0.0,12.07,187
2013-11-06,4257,186919.65,43.91,1311,2153,0,0.0,11.84,253
2013-11-07,4792,203303.13,42.43,1353,2275,0,0.0,11.27,232
2013-11-08,4515,193513.34,42.86,1345,2234,10,0.2215,11.3,213
2013-11-09,4611,200897.76,43.57,1347,2255,12,0.2602,12.43,226
2013-11-10,4648,202399.38,43.55,1352,2254,5,0.1076,11.92,212
2013-11-11,4671,194124.98,41.56,1335,2233,5,0.107,11.48,228
2013-11-12,4254,204221.54,48.01,1331,2157,6,0.141,12.08,188
2013-11-13,4336,189534.59,43.71,1331,2134,0,0.0,11.25,255
2013-11-14,4691,194442.25,41.45,1344,2198,0,0.0,11.4,238
2013-11-15,4643,200071.36,43.09,1341,2203,25,0.5384,12.45,234
2013-11-16,4676,198490.99,42.45,1348,2288,19,0.4063,11.68,238
2013-11-17,4497,191043.96,42.48,1336,2226,17,0.378,11.54,193
2013-11-18,4828,209104.0,43.31,1338,2231,11,0.2278,11.06,262
2013-11-19,4182,198327.1,47.42,1310,2150,0,0.0,12.34,184
2013-11-20,4178,185327.68,44.36,1300,2106,2,0.0479,11.27,225
2013-11-21,4606,188133.69,40.85,1336,2208,0,0.0,11.96,222
2013-11-22,4557,186289.96,40.88,1336,2242,13,0.2853,12.49,213
2013-11-23,4675,196048.84,41.94,1358,2260,17,0.3636,11.59,236
2013-11-24,4771,182549.43,38.26,1342,2270,8,0.1677,13.14,223
2013-11-25,4610,208731.17,45.28,1344,2241,10,0.2169,12.06,216
2013-11-26,4187,191431.24,45.72,1327,2162,0,0.0,11.51,204
2013-11-27,4252,183109.6,43.06,1312,2128,0,0.0,12.28,248
2013-11-28,4711,202533.0,42.99,1349,2273,0,0.0,11.34,229
2013-11-29,4695,201939.9,43.01,1347,2254,36,0.7668,11.74,244
2013-11-30,4582,182941.41,39.93,1352,2247,31,0.6766,11.87,234
2013-12-01,4601,198572.07,43.16,1331,2251,10,0.2173,10.8,220
2013-12-02,4755,207194.42,43.57,1336,2271,8,0.1682,11.82,239
2013-12-03,4206,198408.35,47.17,1311,2153,0,0.0,13.05,185
2013-12-04,4116,182613.96,44.37,1307,2112,0,0.0,12.63,215
2013-12-05,4835,201961.51,41.77,1359,2293,0,0.0,11.23,253
2013-12-06,4688,197745.97,42.18,1345,2268,32,0.6826,11.67,233
2013-12-07,4690,197489.74,42.11,1344,2230,15,0.3198,12.32,236
2013-12-08,4789,200736.18,41.92,1350,2274,17,0.355,11.11,244
2013-12-09,4650,205560.55,44.21,1324,2213,6,0.129,11.31,224
2013-12-10,4142,196611.58,47.47,1329,2148,6,0.1449,11.69,154
2013-12-11,4306,188662.39,43.81,1319,2145,3,0.0697,11.75,249
2013-12-12,4663,194443.11,41.7,1348,2261,0,0.0,10.7,230
2013-12-13,4568,189288.96,41.44,1331,2231,23,0.5035,11.45,212
2013-12-14,4780,192406.97,40.25,1340,2263,24,0.5021,11.36,244
2013-12-15,4605,196073.31,42.58,1358,2252,24,0.5212,11.88,222
2013-12-16,4731,208307.87,44.03,1352,2238,16,0.3382,12.03,251
2013-12-17,4161,190554.67,45.8,1304,2120,3,0.0721,11.97,181
2013-12-18,4251,191342.43,45.01,1323,2152,2,0.047,11.83,239
2013-12-19,4626,187323.46,40.49,1335,2227,0,0.0,10.83,249
2013-12-20,4639,194960.77,42.03,1317,2202,26,0.5605,11.6,235
2013-12-21,4714,205565.7,43.61,1353,2250,19,0.4031,11.26,244
2013-12-22,4732,196273.56,41.48,1351,2239,9,0.1902,11.88,227
2013-12-23,4677,212854.22,45.51,1342,2263,3,0.0641,11.55,229
2013-12-24,4164,215827.49,51.83,1329,2181,3,0.072,12.1,174
2013-12-25,4865,183394.16,37.7,1337,2274,4,0.0822,12.87,275
2013-12-26,4627,190124.66,41.09,1346,2249,3,0.0648,11.24,216
2013-12-27,4558,197583.83,43.35,1327,2226,36,0.7898,12.51,212
2013-12-28,4710,191836.22,40.73,1348,2272,35,0.7431,11.72,233
2013-12-29,4552,188142.26,41.33,1343,2230,12,0.2636,11.56,208
2013-12-30,4623,202380.91,43.78,1357,2257,4,0.0865,11.88,196
2013-12-31,4165,184648.03,44.33,1319,2142,0,0.0,12.0,178
2014-01-01,4801,167816.03,34.95,1342,2234,4,0.0833,13.56,277
2014-01-02,4230,200376.17,47.37,1326,2169,1,0.0236,12.7,178
2014-01-03,4754,207883.57,43.73,1353,2260,0,0.0,12.12,235
2014-01-04,4776,196039.26,41.05,1357,2268,31,0.6491,12.12,232
2014-01-05,4754,201172.25,42.32,1368,2285,22,0.4628,12.14,223
2014-01-06,4721,193646.55,41.02,1351,2269,12,0.2542,11.84,229
2014-01-07,4660,204527.65,43.89,1353,2248,15,0.3219,11.97,221
