month,txns,sum_amount,avg_amount,active_users,fraud_count,fraud_rate
2016-01-01,145038,6252993.48,43.112794440077764,1506,459,0.3165
2016-02-01,131055,5697803.62,43.47643065888365,1502,285,0.2175
2016-03-01,144685,6231531.599999999,43.069645091059876,1502,319,0.2205
2016-04-01,139128,5979442.04,42.97799177735612,1503,312,0.2243
2016-05-01,145431,6200092.03,42.632533847666586,1507,327,0.2248
2016-06-01,141530,6159532.099999995,43.521035116229775,1504,264,0.1865
2016-07-01,145180,6286510.2,43.30148918583826,1507,264,0.1818
2016-08-01,145353,6252353.349999999,43.01495909957137,1507,316,0.2174
2016-09-01,140056,6043046.759999999,43.14736076997775,1507,322,0.2299
2016-10-01,145162,6231337.859999999,42.926784282387935,1507,231,0.1591
2016-11-01,141364,6080785.409999998,43.01509160748138,1507,306,0.2165
2016-12-01,144942,6199520.56,42.772423176166996,1508,174,0.12
2017-01-01,145660,6184048.280000001,42.45536372374022,1508,0,0.0
2017-02-01,131865,5690269.910000002,43.15223834982748,1509,0,0.0
2017-03-01,145754,6275748.040000001,43.05712392112737,1511,0,0.0
2017-04-01,141815,6071913.499999998,42.81573528893276,1512,0,0.0
2017-05-01,146541,6316865.340000002,43.10647081704096,1516,0,0.0
2017-06-01,142631,6158128.499999998,43.175245914282335,1517,0,0.0
2017-07-01,146659,6320397.879999995,43.09587464799294,1517,0,0.0
2017-08-01,146623,6222663.419999998,42.439886102453215,1515,0,0.0
2017-09-01,141863,6061143.329999996,42.72532887363163,1515,0,0.0
2017-10-01,145560,6243841.690000004,42.89531251717503,1514,0,0.0
2017-11-01,142150,6031314.090000001,42.42922328526203,1513,58,0.0408
2017-12-01,146239,6218293.78,42.521446262624885,1512,197,0.1347
2018-01-01,146357,6240813.279999999,42.64103035727708,1514,145,0.0991
2018-02-01,131276,5648763.76,43.02967610225783,1513,183,0.1394
2018-03-01,146272,6279671.33,42.931465557317836,1514,229,0.1566
2018-04-01,141688,6093073.450000003,43.0034544209813,1514,269,0.1899
2018-05-01,145438,6214825.870000002,42.731788597202915,1514,167,0.1148
2018-06-01,141827,6115479.429999999,43.11928920445328,1517,154,0.1086
2018-07-01,146638,6323931.96,43.12614711057159,1517,156,0.1064
2018-08-01,146983,6290991.720000003,42.8008117945613,1516,216,0.147
2018-09-01,141557,6061947.81,42.82337016184294,1517,262,0.1851
2018-10-01,145473,6251235.210000001,42.97179002289084,1521,181,0.1244
2018-11-01,141843,6090035.300000001,42.93504297004431,1520,300,0.2115
2018-12-01,146263,6210408.6000000015,42.46055803586692,1523,229,0.1566
2019-01-01,146097,6218588.439999997,42.5647921586343,1523,203,0.1389
2019-02-01,132102,5656372.050000001,42.81821660535041,1524,156,0.1181
2019-03-01,147202,6311712.779999999,42.87790097960626,1526,215,0.1461
2019-04-01,141409,6108335.509999998,43.196228740744914,1524,218,0.1542
2019-05-01,145648,6265965.230000001,43.021292637042734,1522,260,0.1785
2019-06-01,142399,6144114.09,43.14717160935121,1521,215,0.151
2019-07-01,146599,6233026.360000001,42.51752303903846,1519,156,0.1064
2019-08-01,147139,6240552.110000001,42.412630981588855,1520,247,0.1679
2019-09-01,141744,6004105.310000001,42.35879691556608,1518,142,0.1002
2019-10-01,145074,6178390.7,42.587856542178464,1519,275,0.1896
2019-11-01,141946,6096498.730000001,42.949422526876425,1544,0,0.0
2019-12-01,146579,6225277.3599999985,42.47045866051752,1545,0,0.0
